Name,Sku,Category,CostPrice,SellingPrice,StockQuantity
Pran Mango Juice 1L,PRAN-MG-1L,Beverages,60,75,100
Radhuni Soyabean Oil 5L,RAD-OIL-5L,Groceries,750,820,50
Aarong Dairy Milk 1L,AAR-MILK-1L,Dairy,75,90,40
Maggi 2-Minute Noodles 8-Pack,MAG-NDL-8,Snacks,120,140,200
RFL Plastic Chair,RFL-CHR-01,Furniture,450,550,30
Walton 32-inch LED TV,WAL-TV-32,Electronics,12000,14500,10
Bashundhara Tissue Paper,BASH-TIS-01,Hygiene,25,35,500
Lux Beauty Soap,LUX-SOAP-100G,Personal Care,35,45,300
Sunsilk Black Shine Shampoo 200ml,SUN-SHAM-200,Personal Care,150,180,150
Teer Sugar 1kg,TEER-SUG-1KG,Groceries,115,130,200
Rupchanda Miniket Rice 5kg,RUP-RICE-5KG,Groceries,340,380,100
Fresh Refined Salt 1kg,FRESH-SALT-1KG,Groceries,35,42,150
Nestle Nescafe Classic 50g,NES-COF-50G,Beverages,140,165,80
Coca-Cola 1.25L,COKE-1250ML,Beverages,60,70,120
Ispahani Mirzapore Tea 500g,ISP-TEA-500G,Beverages,200,230,90
Bombay Sweets Potato Crackers,BOM-CRK-01,Snacks,12,15,400
Meril Petroleum Jelly 50ml,MER-JELLY-50,Personal Care,55,65,100
Lifebuoy Hand Wash 200ml,LIF-HW-200ML,Hygiene,85,100,120
Savlon Antiseptic Liquid 112ml,SAV-ANT-112,Hygiene,65,75,80
Finlay Green Tea 25 Bags,FIN-GT-25B,Beverages,110,130,60
ACI Pure Mustard Oil 500ml,ACI-MUST-500,Groceries,140,165,75
Dano Full Cream Milk Powder 500g,DANO-MILK-500,Dairy,380,420,50
Matador Hi-School Ballpen (1 Dozen),MAT-PEN-12,Stationery,50,60,200
Fresh Premium Atta 2kg,FRESH-ATTA-2KG,Groceries,90,110,100
Olympic Energy Plus Biscuit,OLY-ENG-BIS,Snacks,30,40,300
